cook,year,state,face_rating,incumbent,candidate,party,tossup,jpg
LeanRep,1992,AK,1.599633342,TRUE,Frank H. Murkowski,rep,FALSE,537
LikelyDem,1992,AL,1.161491045,TRUE,Richard C. Shelby,dem,FALSE,105
SolidDem,1992,AR,1.968683179,TRUE,Dale Bumpers,dem,FALSE,445
SolidDem,1992,AR,0.214318415,FALSE,Mike Huckabee,rep,FALSE,446
TossupRep,1992,CA,-1.369825861,FALSE,Bruce Herschensohn,rep,TRUE,447
LeanDem,1992,CO,-1.02112264,FALSE,Ben Nighthorse Campbell,dem,FALSE,543
LikelyDem,1992,CT,-0.543625744,TRUE,Christopher J. Dodd,dem,FALSE,114
SolidDem,1992,FL,0.562642095,TRUE,Bob Graham,dem,FALSE,545
LeanDem,1992,GA,0.169839225,TRUE,Wyche Fowler,dem,FALSE,448
LeanDem,1992,GA,0.318562236,FALSE,Paul Coverdell,rep,FALSE,548
SolidDem,1992,HI,-0.535276893,TRUE,Daniel Inouye,dem,FALSE,292
SolidDem,1992,HI,-1.99316829,FALSE,Rick Reed,rep,FALSE,449
SolidRep,1992,IA,-1.874164787,FALSE,Jean Lloyd-Jones,dem,FALSE,450
SolidRep,1992,IA,0.384578774,TRUE,Charles E. Grassley,rep,FALSE,451
TossupRep,1992,ID,-1.041169478,FALSE,Richard Stallings,dem,TRUE,452
TossupRep,1992,ID,0.599603817,FALSE,Dirk Kempthorne,rep,TRUE,453
SolidDem,1992,IL,0.641232959,FALSE,Carol Moseley Braun,dem,FALSE,554
SolidDem,1992,IL,-0.21012324,FALSE,Richard S. Williamson,rep,FALSE,454
LeanRep,1992,IN,0.724625661,TRUE,Daniel R. Coats,rep,FALSE,455
SolidDem,1992,KY,0.504376997,TRUE,Wendell H. Ford,dem,FALSE,456
SolidDem,1992,KY,0.31594922,FALSE,David L. Williams,rep,FALSE,457
LikelyDem,1992,LA,1.287534846,TRUE,John B. Breaux,dem,FALSE,562
SolidDem,1992,MD,-1.505998531,TRUE,Barbara A. Mikulski,dem,FALSE,313
SolidDem,1992,MD,0.581563587,FALSE,Alan L. Keyes,rep,FALSE,302
LikelyRep,1992,MO,0.570390298,TRUE,Christopher Bond,rep,FALSE,315
TossupRep,1992,NC,0.356466393,TRUE,Terry Sanford,dem,TRUE,458
TossupRep,1992,NC,0.79162122,FALSE,Lauch Faircloth,rep,TRUE,567
LeanDem,1992,ND,-0.348373335,FALSE,Byron L. Dorgan,dem,FALSE,319
