sdo5,female,age,educ,race,favor_trump,favor_blm,favor_metoo,american_customs,race_ident,pid3,ideo5,fear_of_demographic_change,confederate_flag,presvote16
3,1,75,2,1,4,1,1,5,4,3,5,0.5,Heritage,Trump
2,0,73,5,1,4,1,2,5,1,2,4,0.9167,Heritage,Trump
1,0,69,2,1,1,4,4,1,1,1,2,0.3333,Slavery,Clinton
2.5,0,79,6,1,4,1,2,5,3,3,4,0.75,Heritage,Trump
1,0,64,5,1,1,4,4,1,2,2,3,0.0833,Slavery,Stein
1,0,60,3,7,1,4,4,1,1,1,2,0,Slavery,Clinton
1,1,49,6,2,1,4,4,1,4,1,3,0.0833,Slavery,Clinton
3.5,0,66,5,1,4,1,1,3,1,2,4,0.5,Heritage,Trump
3.5,0,76,6,1,4,1,1,5,4,3,4,0.8333,Heritage,Trump
1.75,0,38,6,1,1,4,4,1,2,1,2,0.1667,Slavery,Clinton
1,1,54,2,1,4,4,4,5,4,3,5,0.8333,Heritage,Trump
3,0,81,6,7,4,1,1,5,1,NA,4,0.6667,Heritage,Trump
2,1,28,5,1,1,NA,2,1,2,2,3,0.1667,Heritage,Clinton
2,1,71,4,1,4,1,1,3,4,3,5,0.6667,Heritage,Trump
3.5,0,71,3,1,1,2,1,5,2,2,4,0.9167,Heritage,Trump
2.5,0,62,6,1,3,2,3,4,4,2,4,0.5,NA,Trump
2.5,1,79,2,1,4,3,2,5,3,3,4,0.4167,Heritage,Did not vote
2.25,1,71,3,1,4,2,1,4,1,3,5,0.6667,Heritage,Trump
2,1,76,3,1,4,1,2,5,2,2,4,0.75,Heritage,Trump
3,1,68,2,1,4,1,1,4,3,3,4,0.75,Heritage,Trump
1.25,1,73,6,2,1,3,4,1,4,1,3,0,Slavery,Clinton
1.25,0,73,2,1,1,3,3,3,3,2,3,0.25,Slavery,Clinton
1,0,64,6,3,1,3,3,1,3,2,2,0.3333,Slavery,Johnson
3.5,1,70,3,1,1,4,4,1,3,1,2,0.0833,Slavery,Clinton
1,0,67,6,1,1,4,4,1,2,1,1,0,Slavery,Clinton
1.5,1,64,5,1,1,4,4,1,2,2,2,0.0833,Slavery,Clinton
2,0,49,4,1,4,1,2,4,3,2,3,0.5833,Heritage,Trump
3,0,36,5,3,4,4,4,5,4,1,3,0.5833,Slavery,Trump
1,0,75,4,1,4,1,1,5,2,3,4,0.5833,Heritage,Trump
1,0,58,5,2,1,4,4,1,4,2,3,0.4167,Slavery,Clinton
1.25,1,74,3,1,1,3,NA,1,3,1,2,0.5833,Slavery,Clinton
2,1,71,6,1,1,3,3,1,3,1,2,0.3333,Slavery,Clinton
2,0,55,5,1,1,3,3,1,3,1,1,0.25,Slavery,Clinton
1.25,1,61,5,1,1,4,3,1,2,1,2,0.3333,Slavery,Clinton
1.5,0,80,6,1,1,3,3,1,3,2,3,0.25,Slavery,Clinton
1,0,40,5,1,1,3,3,1,3,1,1,0.25,Slavery,Clinton
2.75,1,57,3,1,4,1,NA,3,1,3,4,0.5,Heritage,Trump
1,1,68,4,1,1,3,4,2,2,1,2,0.1667,Slavery,Clinton
1,0,74,3,1,1,4,4,1,2,1,1,0.1667,Slavery,Clinton
1,0,69,5,1,1,4,4,1,2,1,1,0,Slavery,Clinton
3,0,56,6,1,1,1,2,4,3,3,4,0.6667,Heritage,Johnson
1,0,57,2,1,3,2,1,2,2,2,3,0.5833,Heritage,Trump
1.75,1,56,5,1,1,4,4,1,1,1,2,0,Slavery,Clinton
3,0,34,5,1,4,1,1,5,4,3,5,1,Heritage,Trump
1.5,0,56,3,1,1,2,3,2,2,2,3,0.3333,Slavery,Clinton
1.75,0,78,5,1,1,3,3,1,2,2,3,0.1667,Slavery,Other
4,0,79,6,1,4,1,1,5,4,3,5,0.6667,Heritage,Trump
1.25,0,69,5,1,1,2,3,2,4,NA,2,0.3333,Slavery,Clinton
1,1,62,5,1,1,4,4,1,3,1,1,0,Slavery,Clinton
2,1,67,6,1,1,4,4,1,3,1,2,0.1667,Slavery,Clinton
3,0,61,3,6,4,NA,3,2,4,NA,5,0.3333,Slavery,Trump
3.5,1,75,3,1,4,1,1,5,3,3,5,0.6667,Heritage,Trump
1,1,72,6,1,1,3,3,2,3,1,2,0.25,Slavery,Clinton
1.5,1,63,6,1,1,3,4,1,1,1,3,0.0833,Slavery,Clinton
3,0,71,4,1,4,1,1,4,1,2,4,0.5833,Heritage,Trump
1.5,0,66,5,1,4,1,2,5,2,3,4,0.4167,Heritage,Trump
3.5,0,62,6,6,NA,2,2,3,1,2,4,0.5,NA,Trump
3.25,0,63,5,3,3,1,1,5,1,3,3,0.8333,Heritage,Trump
1.25,0,65,6,1,1,3,3,4,2,2,2,0.3333,Heritage,Clinton
1.25,0,80,6,5,1,3,3,1,4,1,2,0.3333,Heritage,Clinton
1,1,49,5,7,1,4,4,1,4,2,3,0.1667,Slavery,Clinton
1,0,48,6,1,1,4,4,1,1,1,1,0,Slavery,Clinton
1.75,0,59,5,1,1,4,4,2,3,1,2,0.5,Slavery,Clinton
2,1,70,6,1,1,4,4,1,2,1,2,0.1667,Slavery,Clinton
3,0,71,5,1,3,1,1,5,2,3,5,0.8333,Heritage,Trump
1,1,67,6,1,1,4,3,1,1,2,1,0,Slavery,Clinton
1.5,0,73,5,1,4,1,2,4,3,3,4,0.5833,Heritage,Trump
2.25,0,40,6,1,1,3,3,2,1,3,4,0.25,Slavery,Johnson
4,1,69,6,1,4,1,1,5,1,2,3,1,Heritage,Stein
1,1,56,6,1,1,4,4,1,1,1,1,0.1667,Slavery,Clinton
2.75,1,48,5,1,1,3,3,1,2,2,3,0.3333,Slavery,Clinton
3.75,0,71,6,1,4,1,1,5,4,2,4,1,Heritage,Trump
1.25,0,71,3,1,1,3,4,1,2,1,3,0.25,Heritage,Clinton
1,1,71,5,2,1,4,4,1,4,1,1,0,Slavery,Clinton
1,1,65,6,1,1,3,2,1,2,1,2,0.1667,Slavery,Clinton
1.5,1,71,5,1,NA,NA,1,NA,3,2,4,0.25,NA,Other
1,0,51,5,1,1,2,3,2,2,1,3,0.4167,Slavery,Clinton
3.25,1,65,4,1,4,1,2,4,2,3,4,0.6667,Heritage,Trump
1.5,1,70,2,1,1,3,4,1,2,1,2,0.5833,Slavery,Clinton
1,0,46,3,1,1,3,4,1,2,NA,1,0,Slavery,Clinton
3.5,0,74,6,1,3,2,2,5,2,2,4,0.6667,Heritage,Other
1,1,26,5,3,1,3,2,1,4,1,2,0.3333,Slavery,Clinton
1.5,0,53,3,1,1,4,4,2,3,1,2,0.5833,Slavery,Clinton
2,1,70,5,1,2,2,1,4,3,3,3,0.25,Slavery,Clinton
3.5,0,80,5,1,4,1,1,5,2,2,4,0.5,Heritage,Trump
1,1,55,3,1,1,4,4,1,1,1,1,0.3333,Slavery,Clinton
2.5,1,65,2,6,4,1,1,5,1,3,5,0.6667,Slavery,Trump
2.5,1,64,5,1,4,1,1,4,1,3,4,0.4167,Heritage,Trump
2.75,0,73,6,1,2,1,2,3,2,3,4,0.25,Slavery,Johnson
2.25,0,64,3,1,3,1,2,4,2,3,4,0.5,Heritage,Trump
2.5,1,75,3,1,4,1,1,5,3,3,4,0.3333,Heritage,Trump
1,1,64,2,2,1,4,4,NA,4,1,4,0.3333,Slavery,Johnson
1.75,1,61,2,1,1,3,3,1,2,1,1,0.1667,Slavery,Clinton
1.5,0,66,6,1,1,2,3,2,4,2,3,0.0833,Slavery,Clinton
1,0,61,1,1,1,3,3,1,2,2,3,0.25,Slavery,Clinton
1.75,1,57,5,1,1,NA,3,1,3,1,1,0.1667,Heritage,Clinton
1,1,55,5,1,1,3,4,2,3,2,3,0.4167,Slavery,Clinton
1,1,59,3,1,1,4,3,1,2,1,2,0.0833,Slavery,Clinton
1.5,1,51,5,1,1,3,4,1,1,2,2,0.1667,Slavery,Clinton
2.25,0,60,4,1,3,2,2,4,2,3,3,0.6667,Heritage,Trump
1,1,68,5,1,1,3,3,1,3,1,2,0.0833,Heritage,Clinton
1.5,0,61,5,1,1,4,3,1,2,NA,1,0.3333,Slavery,Clinton
2.75,1,83,5,1,4,1,1,5,3,3,4,0.5,Heritage,Trump
2.25,1,61,6,1,4,2,2,2,3,3,5,0.4167,Slavery,Trump
2.25,0,67,5,1,3,1,2,3,2,3,3,0.3333,Heritage,Trump
1,0,84,5,1,1,4,4,1,2,1,2,0.1667,Slavery,Clinton
1,1,23,5,1,1,4,4,3,1,1,1,0.1667,Slavery,Clinton
1,1,66,4,1,1,4,4,1,2,1,2,0.0833,Slavery,Clinton
2.25,1,62,6,1,2,2,2,5,3,3,4,0.9167,Heritage,Trump
2.5,0,66,2,1,1,1,1,3,3,2,3,0.3333,Heritage,Clinton
