"","ccode1","country_name","year","init","init_autoc","init_democ","democracynosuff","suffrage","autocracy","polity","wcivillibs","nuclear"
"1",2,"United States",1900,2,2,0,1,0,0,10,0.577,0
"2",2,"United States",1901,0,0,0,1,0,0,10,0.577,0
"3",2,"United States",1902,0,0,0,1,0,0,10,0.577,0
"4",2,"United States",1903,2,2,0,1,0,0,10,0.577,0
"5",2,"United States",1904,1,1,0,1,0,0,10,0.577,0
"6",2,"United States",1905,2,2,0,1,0,0,10,0.577,0
"7",2,"United States",1906,0,0,0,1,0,0,10,0.577,0
"8",2,"United States",1907,0,0,0,1,0,0,10,0.577,0
"9",2,"United States",1908,0,0,0,1,0,0,10,0.577,0
"10",2,"United States",1909,1,1,0,1,0,0,10,0.577,0
"11",2,"United States",1910,1,1,0,1,0,0,10,0.577,0
"12",2,"United States",1911,3,2,0,1,0,0,10,0.577,0
"13",2,"United States",1912,0,0,0,1,0,0,10,0.577,0
"14",2,"United States",1913,0,0,0,1,0,0,10,0.577,0
"15",2,"United States",1914,2,1,0,1,0,0,10,0.577,0
"16",2,"United States",1915,1,0,0,1,0,0,10,0.577,0
"17",2,"United States",1916,1,0,0,1,0,0,10,0.577,0
"18",2,"United States",1917,1,0,1,1,0,0,10,0.547,0
"19",2,"United States",1918,0,0,0,1,0,0,10,0.547,0
"20",2,"United States",1919,1,1,0,1,0,0,10,0.547,0
"21",2,"United States",1920,0,0,0,0,1,0,10,0.608,0
"22",2,"United States",1921,2,2,0,0,1,0,10,0.608,0
"23",2,"United States",1922,0,0,0,0,1,0,10,0.608,0
"24",2,"United States",1923,0,0,0,0,1,0,10,0.608,0
"25",2,"United States",1924,0,0,0,0,1,0,10,0.608,0
"26",2,"United States",1925,0,0,0,0,1,0,10,0.608,0
"27",2,"United States",1926,1,0,0,0,1,0,10,0.608,0
"28",2,"United States",1927,0,0,0,0,1,0,10,0.608,0
"29",2,"United States",1928,0,0,0,0,1,0,10,0.608,0
"30",2,"United States",1929,0,0,0,0,1,0,10,0.608,0
"31",2,"United States",1930,0,0,0,0,1,0,10,0.608,0
"32",2,"United States",1931,0,0,0,0,1,0,10,0.608,0
"33",2,"United States",1932,1,1,0,0,1,0,10,0.608,0
"34",2,"United States",1933,1,1,0,0,1,0,10,0.608,0
"35",2,"United States",1934,0,0,0,0,1,0,10,0.608,0
"36",2,"United States",1935,0,0,0,0,1,0,10,0.574,0
"37",2,"United States",1936,0,0,0,0,1,0,10,0.642,0
"38",2,"United States",1937,0,0,0,0,1,0,10,0.642,0
"39",2,"United States",1938,0,0,0,0,1,0,10,0.642,0
"40",2,"United States",1939,0,0,0,0,1,0,10,0.642,0
"41",2,"United States",1940,1,1,0,0,1,0,10,0.623,0
"42",2,"United States",1941,0,0,0,0,1,0,10,0.658,0
"43",2,"United States",1942,0,0,0,0,1,0,10,0.584,0
"44",2,"United States",1943,0,0,0,0,1,0,10,0.584,0
"45",2,"United States",1944,0,0,0,0,1,0,10,0.584,0
"46",2,"United States",1945,0,0,0,0,1,0,10,0.584,1
"47",2,"United States",1946,1,1,0,0,1,0,10,0.622,1
"48",2,"United States",1947,0,0,0,0,1,0,10,0.611,1
"49",2,"United States",1948,0,0,0,0,1,0,10,0.611,1
"50",2,"United States",1949,0,0,0,0,1,0,10,0.611,1
"51",2,"United States",1950,0,0,0,0,1,0,10,0.623,1
"52",2,"United States",1951,0,0,0,0,1,0,10,0.623,1
"53",2,"United States",1952,0,0,0,0,1,0,10,0.623,1
"54",2,"United States",1953,2,1,0,0,1,0,10,0.623,1
"55",2,"United States",1954,3,1,1,0,1,0,10,0.623,1
"56",2,"United States",1955,0,0,0,0,1,0,10,0.623,1
"57",2,"United States",1956,0,0,0,0,1,0,10,0.623,1
"58",2,"United States",1957,2,2,0,0,1,0,10,0.669,1
"59",2,"United States",1958,3,3,0,0,1,0,10,0.669,1
"60",2,"United States",1959,0,0,0,0,1,0,10,0.669,1
"61",2,"United States",1960,3,1,1,0,1,0,10,0.669,1
"62",2,"United States",1961,5,3,0,0,1,0,10,0.669,1
"63",2,"United States",1962,2,1,0,0,1,0,10,0.669,1
"64",2,"United States",1963,0,0,0,0,1,0,10,0.669,1
"65",2,"United States",1964,4,4,0,0,1,0,10,0.701,1
"66",2,"United States",1965,0,0,0,0,1,0,10,0.76,1
