Treated,ClosestParty,strongPARTISAN,ControlScenario_1,ControlScenario_2,ControlScenario_3,TreatmentScenario _1,TreatmentScenario _2,TreatmentScenario _3,RepublicanAffect_1,RepublicanAffect_2,RepublicanAffect_3,RepublicanAffect_4,DemocraticAffect_1,DemocraticAffect_2,DemocraticAffect_3,DemocraticAffect_4,RepublicanIdentity_1,RepublicanIdentity_2,RepublicanIdentity_3,RepublicanIdentity_4,DemocraticIdentity_1,DemocraticIdentity_2,DemocraticIdentity_3,DemocraticIdentity_4,gender,college_stats,year,US,InPartyAffect_1,InPartyAffect_2,InPartyAffect_3,InPartyAffect_4,InPartyAffect_avg,OutPartyAffect_1,OutPartyAffect_2,OutPartyAffect_3,OutPartyAffect_4,OutPartyAffect_avg,InPartyIdentity_1,InPartyIdentity_2,InPartyIdentity_3,InPartyIdentity_4,InPartyIdentity_avg,OutPartyIdentity_1,OutPartyIdentity_2,OutPartyIdentity_3,OutPartyIdentity_4,OutPartyIdentity_avg,AffectDiff_1,AffectDiff_2,AffectDiff_3,AffectDiff_4,AffectDiff_avg,IdentityDiff_1,IdentityDiff_2,IdentityDiff_3,IdentityDiff_4,IdentityDiff_avg
FALSE,the Democratic Party,FALSE,Trees,Rivers,Mountains,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Man,TRUE,3,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
FALSE,the Democratic Party,FALSE,beautiful fall leaves,huge forests or mountain (perhaps with an animal or two),kinda picturesque old timey towns like from movies,NA,NA,NA,4,5,3,4,5,5,4,6,2,3,3,3,5,5,3,5,NA,NA,NA,NA,5,5,4,6,5,4,5,3,4,4,5,5,3,5,4.5,2,3,3,3,2.75,1,0,1,2,1,3,2,0,2,1.75
TRUE,the Democratic Party,TRUE,NA,NA,NA,How poorly run MBTA is,How their day is and where they are going.,About how my day is going and where I'm going,3,4,4,3,5,5,5,5,3,4,4,4,6,3,4,4,Man,TRUE,2,TRUE,5,5,5,5,5,3,4,4,3,3.5,6,3,4,4,4.25,3,4,4,4,3.75,2,1,1,2,1.5,3,-1,0,0,0.5
TRUE,the Democratic Party,TRUE,NA,NA,NA,"basic personal details -- family, job","2024 Election, Trump, Biden",Where they're headed on the bus,2,3,2,2,5,5,5,5,2,3,2,2,3,6,4,6,Woman,TRUE,3,FALSE,5,5,5,5,5,2,3,2,2,2.25,3,6,4,6,4.75,2,3,2,2,2.25,3,2,3,3,2.75,1,3,2,4,2.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,"The state of the economy, inflation in particular",The upcoming Republican debate and the primaries for the presidential election,"Israel-Palestine, mostly focusing on spending (connections to Russia-Ukraine) and viewpoints in the United States (views in favor of Israel versus in favor of Palestine)",2,3,3,2,6,5,5,6,3,4,3,3,6,5,3,5,Man,TRUE,3,TRUE,6,5,5,6,5.5,2,3,3,2,2.5,6,5,3,5,4.75,3,4,3,3,3.25,4,2,2,4,3,3,1,0,2,1.5
TRUE,the Democratic Party,TRUE,NA,NA,NA,"the economy and how things were better during this ominous ""before"" time period.",strong opinions about sports teams and how the rival teams are bad (using strong language to describe),"reference to the job this person used to do. emphasis on their work and how it was hard and long, and that they sacrificed for it and that will not be taken away from them.",4,3,4,4,5,6,5,5,3,5,3,4,6,6,6,6,Woman,TRUE,4,TRUE,5,6,5,5,5.25,4,3,4,4,3.75,6,6,6,6,6,3,5,3,4,3.75,1,3,1,1,1.5,3,1,3,2,2.25
FALSE,the Democratic Party,TRUE,Trees,Leaves,Cars,NA,NA,NA,3,2,2,2,6,6,4,4,2,4,4,3,5,6,4,5,Woman,TRUE,3,TRUE,6,6,4,4,5,3,2,2,2,2.25,5,6,4,5,5,2,4,4,3,3.25,3,4,2,2,2.75,3,2,0,2,1.75
TRUE,the Democratic Party,FALSE,NA,NA,NA,Weather,Plan for the day,What they do for work,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Woman,TRUE,4,TRUE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
FALSE,the Republican Party,FALSE,Crossing the River,People hopping on and off the train,Train station at each stop,NA,NA,NA,5,5,5,5,3,4,3,4,3,5,3,3,2,4,3,3,Woman,FALSE,1,TRUE,5,5,5,5,5,3,4,3,4,3.5,3,5,3,3,3.5,2,4,3,3,3,2,1,2,1,1.5,1,1,0,0,0.5
FALSE,the Democratic Party,TRUE,Fall foliage,Residential areas,Brick buildings,NA,NA,NA,3,3,4,3,5,6,6,6,3,4,2,5,7,6,6,6,Woman,TRUE,3,TRUE,5,6,6,6,5.75,3,3,4,3,3.25,7,6,6,6,6.25,3,4,2,5,3.5,2,3,2,3,2.5,4,2,4,1,2.75
