id,wave,date,fav_trump,fav_biden,indictment,charge_serious,should_be_charged,politically_motivated,suspend_campaign,doj_hunter_nonpartisan,impeach_biden_hunter,PID,age,age4,educ5,edu4,gender,ethnicity,householdsize,inc7,marit5,metropolitan,region4,rent,state,work10,work3,parent,language,religion,race
255920001,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,Don't know,Don't know,NA,NA,A Republican,54,50-64,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",4,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,Washington,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920002,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,An Independent,63,50-64,Master's degree or above,Bachelors degree or higher,Male,"Other, Non-Hispanic",1,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Oklahoma,Self-employed,Working part-time,not parents of children 0-17 YO,English,No religion,NA
255920003,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not too serious,Should not,No,Should,NA,NA,An Independent,22,18-29,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$10,000 to $24,999",Never married,Metro,NorthEast,Owned or being bought by you or someone in your household,Maine,Retired,Not working,not parents of children 0-17 YO,English,No religion,NA
255920004,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should not,Yes,Should not,NA,NA,An Independent,65,65+,High school graduate (high school diploma or the equivalent GED),High school,Male,"2+ Races, Non-Hispanic",2,"$50,000 to $74,999",Divorced,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Missouri,Other,Not working,not parents of children 0-17 YO,English,Other Christian religion,NA
255920005,1,June 9-10,No opinion,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Somewhat serious,Don't know,Yes,Don't know,NA,NA,A Republican,64,50-64,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",4,"$75,000 to $99,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Ohio,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920006,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,A Republican,89,65+,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Colorado,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920007,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not too serious,Should not,Yes,Should not,NA,NA,A Republican,84,65+,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",1,"$25,000 to $49,999",Widowed,Metro,South,Owned or being bought by you or someone in your household,North Carolina,Homemaker,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920008,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Somewhat serious,Don't know,Don't know,Don't know,NA,NA,A Republican,31,30-49,Master's degree or above,Bachelors degree or higher,Male,Hispanic,2,"$150,000 or more",Now Married,Metro,West,Rented for cash,Idaho,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,Mormon,NA
255920009,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not too serious,Should not,Yes,Should not,NA,NA,A Republican,85,65+,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Homemaker,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920010,1,June 9-10,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,No,Should,NA,NA,A Democrat,77,65+,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Montana,Retired,Not working,not parents of children 0-17 YO,English,No religion,NA
