Overall,Social,Economic,Random ID,BFI_extraversion,BFI_agreeableness,BFI_conscientiousness,BFI_emot_stability,BFI_openness,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emot_stability,TIPI_openness,BFI10_1,BFI10_2,BFI10_3,BFI10_4,BFI10_5,BFI10_6,BFI10_7,BFI10_8,BFI10_9,BFI10_10,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10
1,1,2,79634,4,3,3.5,4,3.5,6,6,6,5.5,4.5,4,2,3,4,2,4,4,4,4,5,6,5,6,5,6,6,7,6,6,3
2,2,2,89159,3,2,2,5,3.5,4,2,1.5,7,6,2,1,2,5,2,4,3,2,5,5,5,1,2,7,5,3,3,1,7,7
2,1,2,70372,4.5,2.5,5,2,2.5,6.5,7,7,5,5.5,4,3,5,2,3,5,2,5,2,2,7,7,7,4,6,6,7,7,6,5
2,2,2,82365,4,4.5,3,1.5,3,5,6.5,3,5,5,4,5,2,2,2,4,4,4,1,4,5,7,3,5,7,5,6,3,5,3
2,2,2,61168,3,4,3.5,3,4,4.5,5,6.5,4,5,3,5,2,4,3,3,3,5,2,5,5,4,6,3,7,4,6,7,5,3
3,2,4,93886,5,4.5,5,2.5,4,6.5,5,7,5,5,5,4,5,4,4,5,5,5,1,4,6,4,7,6,5,7,6,7,4,5
2,1,2,79468,4.5,4.5,4,3,4,5.5,5,6.5,4.5,6,4,5,3,3,4,5,4,5,3,4,6,4,6,4,6,5,6,7,5,6
3,1,3,85463,2.5,4,4,5,3,3.5,NA,6,7,7,1,3,4,5,2,4,5,4,5,4,4,NA,6,7,7,3,7,6,7,7
2,1,2,55412,4,3.5,3.5,3.5,4,5,5,6.5,6.5,5,4,5,2,5,3,4,2,5,2,5,5,3,7,6,6,5,7,6,7,4
3,4,3,68120,3,4,5,3.5,3.5,4.5,4,6.5,5,6,2,5,5,5,2,4,3,5,2,5,6,3,7,4,7,3,5,6,6,5
3,2,4,51261,4,3,4,2.5,3,5,4,6,3.5,5.5,4,3,4,3,3,4,3,4,2,3,4,3,6,2,5,6,5,6,5,6
1,1,2,27307,2,3,4.5,1.5,2,3,3.5,6,3.5,4,2,4,4,2,2,2,2,5,1,2,3,2,6,2,6,3,5,6,5,2
3,1,4,16975,4,2.5,3,4,5,6.5,6,4,6,7,3,1,2,4,5,5,4,4,4,5,7,6,6,6,7,6,6,2,6,7
2,3,2,39006,3,3.5,4.5,3.5,3,4,5,6,5,6,2,3,5,5,2,4,4,4,2,4,5,4,5,3,6,3,6,7,7,6
2,3,2,79276,3.5,3,3,3,4.5,3,4,6,5.5,6.5,3,4,1,3,4,4,2,5,3,5,4,2,6,4,6,2,6,6,7,7
2,2,3,29133,5,4,4,3,4.5,7,5.5,7,6.5,6.5,5,5,4,3,4,5,3,4,3,5,7,5,7,7,7,7,6,7,6,6
2,3,2,17407,2,3.5,4.5,3.5,4.5,1.5,4.5,7,6.5,5,2,4,4,4,5,2,3,5,3,4,2,6,7,6,6,1,3,7,7,4
3,2,4,38775,5,2.5,5,1.5,5,7,3.5,5,3.5,7,5,3,5,2,5,5,2,5,1,5,7,2,7,2,7,7,5,3,5,7
3,2,4,24738,4,5,4,4,4.5,4,6,5,6,6,3,5,4,4,4,5,5,4,4,5,5,7,4,5,7,3,5,6,7,5
3,4,2,79078,2.5,5,4,2,3,3,6,5,4.5,4,2,5,4,2,2,3,5,4,2,4,3,6,5,5,6,3,6,5,4,2
2,1,2,77108,3.5,3,3.5,2,3,5.5,5,4,2.5,5,3,4,2,2,2,4,2,5,2,4,6,4,5,2,5,5,6,3,3,5
2,1,3,40919,5,4.5,5,3.5,4,6,6,7,4,6,5,4,5,4,4,5,5,5,3,4,6,6,7,4,6,6,6,7,4,6
2,1,2,31040,5,4,3.5,4,4,6.5,5.5,6.5,6,6,5,4,3,4,4,5,4,4,4,4,7,6,6,6,7,6,5,7,6,5
1,1,1,78394,2,4.5,4,4,4,2.5,6,7,6,4.5,1,4,3,4,4,3,5,5,4,4,3,6,7,6,5,2,6,7,6,4
1,1,1,79902,4.5,4,4,2.5,4.5,4.5,7,7,5.5,6.5,5,4,4,4,5,4,4,4,1,4,6,7,7,6,7,3,7,7,5,6
1,2,1,63395,3,3.5,3.5,4,4,4,5,4.5,6.5,5.5,3,3,3,4,4,3,4,4,4,4,5,5,4,7,5,3,5,5,6,6
1,1,1,62801,4.5,4.5,4,1.5,4,5,7,6.5,2,4.5,5,5,3,1,5,4,4,5,2,3,3,7,7,1,4,7,7,6,3,5
4,4,5,51058,4,4.5,5,4.5,4,6.5,6,7,5.5,5.5,4,5,5,5,4,4,4,5,4,4,7,5,7,5,6,6,7,7,6,5
2,2,3,29792,3,3.5,4.5,4,1.5,2.5,4.5,7,5.5,5.5,2,4,4,4,1,4,3,5,4,2,3,3,7,5,6,2,6,7,6,5
2,1,2,68846,3.5,2.5,4.5,2,3.5,4.5,5.5,5.5,3,4.5,3,2,4,2,4,4,3,5,2,3,5,6,6,2,5,4,5,5,4,4
2,1,2,28281,3.5,2,3,3,3.5,3.5,5.5,6.5,4.5,5,3,2,4,4,4,4,2,2,2,3,3,6,6,4,4,4,5,7,5,6
2,1,2,85205,3.5,3,5,3.5,5,5.5,5.5,7,6,6.5,3,4,5,5,5,4,2,5,2,5,5,5,7,6,7,6,6,7,6,6
3,2,3,48740,4,2.5,3.5,1,4,4.5,4.5,5.5,1.5,2.5,3,2,4,1,5,5,3,3,1,3,6,2,6,1,2,3,7,5,2,3
1,1,1,11931,1.5,4.5,4.5,4,3,2,6.5,6,6.5,4.5,1,4,4,4,4,2,5,5,4,2,2,6,6,6,6,2,7,6,7,3
2,2,2,58811,5,3,5,5,4,6.5,6.5,7,6,6.5,5,2,5,5,4,5,4,5,5,4,6,6,7,6,6,7,7,7,6,7
3,2,4,55516,4.5,3,5,2.5,2,6,3.5,6,2.5,4,4,4,5,1,2,5,2,5,4,2,6,2,6,2,5,6,5,6,3,3
3,2,4,82319,4.5,3.5,4.5,4,2.5,6.5,4,5.5,5,5.5,4,4,5,4,2,5,3,4,4,3,7,4,6,7,6,6,4,5,3,5
1,1,2,72273,3,2.5,4.5,2,3,4,4,6,3,4,3,4,4,2,2,3,1,5,2,4,3,2,6,3,5,5,6,6,3,3
